Entity,Rank For Female Influencers,Relative Weight (Female),Rank For Male Influencers,Relative Weight (Male)
SINCERITY,1.00581,62.0,1.00103,62.0
HIGH PITCHES,21.0,21.0,2.00136,61.0
PRODUCT,2.00338,59.0,3.00012,59.0
KITCHEN SETTING,5.00249,41.0,4.00142,41.0
ON-SCREEN TEXT,7.50061,38.0,5.5009,38.0
AMERICAN ACCENT,7.50232,38.0,5.50102,38.0
RECURRING PITCH PATTERNS,21.0,21.0,7.00147,34.0
ENTHUSIASM,11.50209,33.0,8.00059,33.0
INDOOR KITCHEN SETTING,21.0,21.0,9.0008,32.0
SMARTPHONE,21.0,21.0,10.00252,25.0
DISCOMFORT,16.0052,23.0,11.50007,23.0
SKINCARE PRODUCTS,16.00372,23.0,11.50066,23.0
WALL DECOR,21.0,21.0,13.00008,21.0
AUDIO TUTORIAL,21.0,21.0,14.50049,18.0
COOKING TECHNIQUE,21.0,21.0,14.50056,18.0
VIEWER'S COMMENT,21.0,21.0,19.00083,17.0
SOCIAL HANDLE,21.0,21.0,19.00143,17.0
TREADMILL,21.0,21.0,19.00145,17.0
DYNAMIC FACIAL EXPRESSIONS,21.0,21.0,19.00211,17.0
COMEDIC SKIT,21.0,21.0,19.00287,17.0
NEUTRAL TONES,3.00435,49.0,21.0,21.0
LIGHTING,4.00348,48.0,21.0,21.0
POP SONG,6.00154,39.0,21.0,21.0
POSITIVE DEMEANOR,9.00019,37.0,21.0,21.0
AUDIO CONTENT,10.00329,36.0,21.0,21.0
SOCIAL MEDIA HANDLE,11.50046,33.0,21.0,21.0
UPBEAT BACKGROUND MUSIC,13.00207,32.0,21.0,21.0
MAKEUP TUTORIAL,14.00623,28.0,21.0,21.0
SKINCARE ROUTINE,16.00697,23.0,21.0,21.0
STARBUCKS,18.50466,22.0,21.0,21.0
YOUTUBE CHANNEL,18.50547,22.0,21.0,21.0
WARM LIGHTING,20.00416,20.0,21.0,21.0
